职位id,关系,薪资
710,所开薪资,4-8K
711,所开薪资,4-9K
712,所开薪资,4-7K
713,所开薪资,3-7K
714,所开薪资,3-5K
715,所开薪资,4-6K
716,所开薪资,3-6K
717,所开薪资,4-8K
718,所开薪资,3-7K
719,所开薪资,4-6K
720,所开薪资,4-8K
721,所开薪资,3-4K
722,所开薪资,4-6K
723,所开薪资,4-8K
724,所开薪资,3-6K
725,所开薪资,4-5K·13薪
726,所开薪资,4-5K
727,所开薪资,3-5K
728,所开薪资,4-6K
729,所开薪资,4-7K
730,所开薪资,4-8K
731,所开薪资,3-4K
732,所开薪资,4-9K
733,所开薪资,3-5K
734,所开薪资,4-8K
735,所开薪资,4-7K
736,所开薪资,4-8K
737,所开薪资,3-7K
738,所开薪资,4-6K
739,所开薪资,2-5K
740,所开薪资,4-8K
741,所开薪资,3-5K
742,所开薪资,4-8K
743,所开薪资,4-6K
744,所开薪资,4-9K
745,所开薪资,3-8K
746,所开薪资,4-5K
747,所开薪资,4-8K
748,所开薪资,4-5K
749,所开薪资,4-6K
750,所开薪资,4-6K
751,所开薪资,4-8K
752,所开薪资,3-6K
753,所开薪资,4-8K
754,所开薪资,3-8K
755,所开薪资,4-8K
756,所开薪资,3-7K
757,所开薪资,4-7K
758,所开薪资,4-8K
759,所开薪资,3-5K
760,所开薪资,4-9K
761,所开薪资,4-5K
762,所开薪资,3-6K
763,所开薪资,4-9K
764,所开薪资,4-5K
765,所开薪资,4-9K
766,所开薪资,4-7K
767,所开薪资,4-9K
768,所开薪资,4-7K
769,所开薪资,4-6K
770,所开薪资,4-6K·13薪
771,所开薪资,4-7K
772,所开薪资,3-7K
773,所开薪资,4-8K
774,所开薪资,4-6K
775,所开薪资,4-8K
776,所开薪资,3-6K·13薪
777,所开薪资,4-5K
778,所开薪资,3-5K
779,所开薪资,8-11K
780,所开薪资,8-13K
781,所开薪资,4-8K
782,所开薪资,5-8K
783,所开薪资,6-8K
784,所开薪资,5-10K
785,所开薪资,3-7K
786,所开薪资,5-8K
787,所开薪资,5-10K
788,所开薪资,4-9K
789,所开薪资,7-11K
790,所开薪资,4-8K·13薪
791,所开薪资,7-8K
792,所开薪资,5-8K
793,所开薪资,3-8K
794,所开薪资,4-9K
795,所开薪资,3-8K
796,所开薪资,4-8K
797,所开薪资,5-8K
798,所开薪资,5-8K
799,所开薪资,4-6K
800,所开薪资,5-10K·13薪
801,所开薪资,7-12K
802,所开薪资,8-12K
803,所开薪资,4-9K
804,所开薪资,8-10K·13薪
805,所开薪资,5-9K·13薪
806,所开薪资,5-10K
807,所开薪资,4-8K
808,所开薪资,4-7K·13薪
809,所开薪资,4-8K
810,所开薪资,6-7K
811,所开薪资,4-8K
812,所开薪资,6-10K
813,所开薪资,4-7K
814,所开薪资,6-9K
815,所开薪资,4-9K
816,所开薪资,4-9K
817,所开薪资,6-8K
818,所开薪资,7-9K
819,所开薪资,4-6K
820,所开薪资,5-10K
821,所开薪资,7-12K
822,所开薪资,6-11K
823,所开薪资,7-12K
824,所开薪资,5-10K
825,所开薪资,6-11K·13薪
826,所开薪资,5-9K
827,所开薪资,8-12K·13薪
828,所开薪资,6-8K
829,所开薪资,7-9K·13薪
830,所开薪资,6-10K
831,所开薪资,4-8K
832,所开薪资,6-8K
833,所开薪资,4-8K
834,所开薪资,5-10K
835,所开薪资,5-8K
836,所开薪资,6-10K
837,所开薪资,8-13K
838,所开薪资,5-9K
839,所开薪资,5-10K
840,所开薪资,7-11K
841,所开薪资,5-8K
842,所开薪资,6-9K
843,所开薪资,6-10K
844,所开薪资,4-8K
845,所开薪资,8-9K
846,所开薪资,4-8K
847,所开薪资,5-7K
848,所开薪资,8-12K
849,所开薪资,4-7K
850,所开薪资,5-7K
851,所开薪资,5-7K
852,所开薪资,5-10K
853,所开薪资,7-10K·13薪
854,所开薪资,5-6K
855,所开薪资,5-6K
856,所开薪资,7-12K·13薪
857,所开薪资,5-7K
858,所开薪资,5-9K
859,所开薪资,5-10K
860,所开薪资,4-6K
861,所开薪资,5-8K·13薪
862,所开薪资,6-9K
863,所开薪资,6-10K
864,所开薪资,6-10K·13薪
865,所开薪资,6-10K
