职位id,关系,薪资
1256,,14-17K
1257,,8-13K
1258,,7-12K
1259,,10-13K
1260,,15-20K·13薪
1261,,15-23K·15薪
1262,,12-20K
1263,,13-16K
1264,,12-20K
1265,,12-14K
1266,,8-12K
1267,,10-15K·13薪
1268,,8-13K
1269,,13-17K·13薪
1270,,10-15K
1271,,10-15K
1272,,7-12K·13薪
1273,,18-22K·14薪
1274,,15-25K
1275,,8-13K
1276,,8-13K
1277,,10-15K·13薪
1278,,16-20K
1279,,17-18K
1280,,13-15K
1281,,10-15K
1282,,17-18K
1283,,13-17K
1284,,13-15K
1285,,10-15K
1286,,13-16K
1287,,8-13K
1288,,10-15K·13薪
1289,,12-18K·13薪
1290,,10-12K
1291,,10-15K
1292,,10-15K
1293,,15-18K
1294,,11-18K·14薪
1295,,14-17K
1296,,6-11K·13薪
1297,,18-22K
1298,,11-21K
1299,,25-30K
1300,,18-22K·13薪
1301,,14-23K·14薪
1302,,15-25K
1303,,14-28K
1304,,15-25K
1305,,13-21K
1306,,15-22K·13薪
1307,,12-24K
1308,,18-22K
1309,,11-22K·13薪
1310,,16-22K
1311,,15-25K·13薪
1312,,19-25K·15薪
1313,,15-25K·13薪
1314,,15-23K·15薪
1315,,15-30K
1316,,15-22K
1317,,15-25K
1318,,15-26K
1319,,12-24K
1320,,20-40K·16薪
1321,,15-25K
1322,,21-22K
1323,,15-23K
1324,,15-25K
1325,,20-25K
1326,,16-21K
1327,,18-35K·14薪
1328,,15-25K
1329,,19-22K·13薪
1330,,15-30K
1331,,14-26K
1332,,14-22K
1333,,15-25K
1334,,16-22K
1335,,20-40K
1336,,15-22K·13薪
1337,,20-30K·14薪
1338,,13-25K
1339,,15-22K
1340,,11-22K·14薪
1341,,15-30K·15薪
1342,,20-30K
1343,,11-22K·13薪
1344,,20-22K
1345,,15-21K
1346,,15-25K·13薪
1347,,15-25K
1348,,16-30K
1349,,20-21K
1350,,11-22K
1351,,15-30K·14薪
1352,,20-25K
1353,,20-25K
1354,,15-25K
1355,,17-28K·14薪
1356,,40-70K·15薪
1357,,18-30K
1358,,14-28K
1359,,18-25K
1360,,11-22K
1361,,13-26K·13薪
1362,,20-21K
1363,,20-25K·13薪
1364,,15-25K·13薪
1365,,15-25K
1366,,30-40K
1367,,20-25K
1368,,15-26K·13薪
1369,,30-50K·15薪
